,query_number_q_01,query_number_q_02,query_number_q_03,query_number_q_04,query_number_q_05,query_number_q_06,query_number_q_07,query_number_q_08,query_number_q_09,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:_+UseG1GC,spark.executor.extraJavaOptions=-XX:_+UseParallelGC
187,0,0,0,0,0,1,0,0,0,3,4,1,0
188,0,0,0,0,0,1,0,0,0,2,3,0,1
189,0,0,0,0,0,1,0,0,0,3,5,0,1
190,0,0,0,0,0,1,0,0,0,3,5,1,0
191,0,0,0,0,0,1,0,0,0,3,6,0,1
192,0,0,0,0,0,1,0,0,0,3,6,1,0
193,0,0,0,0,0,1,0,0,0,3,7,0,1
194,0,0,0,0,0,1,0,0,0,3,7,1,0
195,0,0,0,0,0,1,0,0,0,3,8,0,1
196,0,0,0,0,0,1,0,0,0,3,8,1,0
197,0,0,0,0,0,1,0,0,0,4,2,0,1
198,0,0,0,0,0,1,0,0,0,4,2,1,0
199,0,0,0,0,0,1,0,0,0,2,3,1,0
200,0,0,0,0,0,1,0,0,0,4,3,0,1
201,0,0,0,0,0,1,0,0,0,4,3,1,0
202,0,0,0,0,0,1,0,0,0,4,4,0,1
203,0,0,0,0,0,1,0,0,0,4,4,1,0
204,0,0,0,0,0,1,0,0,0,4,5,0,1
205,0,0,0,0,0,1,0,0,0,4,5,1,0
206,0,0,0,0,0,1,0,0,0,2,4,0,1
207,0,0,0,0,0,1,0,0,0,2,4,1,0
208,0,0,0,0,0,1,0,0,0,2,5,0,1
209,0,0,0,0,0,1,0,0,0,2,5,1,0
210,0,0,0,0,0,1,0,0,0,2,6,0,1
211,0,0,0,0,0,1,0,0,0,2,6,1,0
212,0,0,0,0,0,0,1,0,0,2,2,0,1
213,0,0,0,0,0,0,1,0,0,2,2,1,0
214,0,0,0,0,0,0,1,0,0,2,7,0,1
215,0,0,0,0,0,0,1,0,0,2,7,1,0
216,0,0,0,0,0,0,1,0,0,2,8,0,1
217,0,0,0,0,0,0,1,0,0,2,8,1,0
218,0,0,0,0,0,0,1,0,0,3,2,0,1
219,0,0,0,0,0,0,1,0,0,3,2,1,0
220,0,0,0,0,0,0,1,0,0,3,3,0,1
221,0,0,0,0,0,0,1,0,0,3,3,1,0
222,0,0,0,0,0,0,1,0,0,3,4,0,1
223,0,0,0,0,0,0,1,0,0,3,4,1,0
224,0,0,0,0,0,0,1,0,0,2,3,0,1
225,0,0,0,0,0,0,1,0,0,3,5,0,1
226,0,0,0,0,0,0,1,0,0,3,5,1,0
227,0,0,0,0,0,0,1,0,0,3,6,0,1
228,0,0,0,0,0,0,1,0,0,3,6,1,0
229,0,0,0,0,0,0,1,0,0,3,7,0,1
230,0,0,0,0,0,0,1,0,0,3,7,1,0
231,0,0,0,0,0,0,1,0,0,3,8,0,1
232,0,0,0,0,0,0,1,0,0,3,8,1,0
233,0,0,0,0,0,0,1,0,0,4,2,0,1
234,0,0,0,0,0,0,1,0,0,4,2,1,0
235,0,0,0,0,0,0,1,0,0,2,3,1,0
236,0,0,0,0,0,0,1,0,0,4,3,0,1
237,0,0,0,0,0,0,1,0,0,4,3,1,0
238,0,0,0,0,0,0,1,0,0,4,4,0,1
239,0,0,0,0,0,0,1,0,0,4,4,1,0
240,0,0,0,0,0,0,1,0,0,4,5,0,1
241,0,0,0,0,0,0,1,0,0,4,5,1,0
242,0,0,0,0,0,0,1,0,0,2,4,0,1
243,0,0,0,0,0,0,1,0,0,2,4,1,0
244,0,0,0,0,0,0,1,0,0,2,5,0,1
245,0,0,0,0,0,0,1,0,0,2,5,1,0
246,0,0,0,0,0,0,1,0,0,2,6,0,1
247,0,0,0,0,0,0,1,0,0,2,6,1,0
248,0,0,0,0,0,0,0,1,0,2,2,0,1
249,0,0,0,0,0,0,0,1,0,2,2,1,0
250,0,0,0,0,0,0,0,1,0,2,7,0,1
