,query_number,driver-memory,executor-memory,spark.executor.extraJavaOptions=-XX:,runtime
295,q_09,3,4,+UseG1GC,25.353
296,q_09,2,3,+UseParallelGC,25.78
297,q_09,3,5,+UseParallelGC,25.605999999999998
298,q_09,3,5,+UseG1GC,25.444000000000003
299,q_09,3,6,+UseParallelGC,25.669
300,q_09,3,6,+UseG1GC,25.17
301,q_09,3,7,+UseParallelGC,24.189
302,q_09,3,7,+UseG1GC,24.901
303,q_09,3,8,+UseParallelGC,25.003
304,q_09,3,8,+UseG1GC,25.174
305,q_09,4,2,+UseParallelGC,25.808000000000003
306,q_09,4,2,+UseG1GC,24.853
307,q_09,2,3,+UseG1GC,24.678
308,q_09,4,3,+UseParallelGC,25.215999999999998
309,q_09,4,3,+UseG1GC,25.118000000000002
310,q_09,4,4,+UseParallelGC,25.523000000000003
311,q_09,4,4,+UseG1GC,24.974
312,q_09,4,5,+UseParallelGC,24.793000000000003
313,q_09,4,5,+UseG1GC,25.006
314,q_09,2,4,+UseParallelGC,24.303
315,q_09,2,4,+UseG1GC,24.934
316,q_09,2,5,+UseParallelGC,24.644000000000002
317,q_09,2,5,+UseG1GC,25.101
318,q_09,2,6,+UseG1GC,25.29
